Alumni_ID,First_Name,Last_Name,SLU_Email,Personal_Email,Degree,Major,Graduation_Year,Visa_Phase,City,State,Country
1,Christy,Lopez,christy.lopez845@slu.edu,christy.lopez461@yahoo.com,MS,Finance,2015,Full-Time,Columbus,OH,USA
2,Amy,Luna,amy.luna31@slu.edu,amy.luna661@yahoo.com,BS,Business Analytics,2018,Full-Time,Cambridge,MA,USA
3,Nicholas,Zavala,nicholas.zavala483@slu.edu,nicholas.zavala580@yahoo.com,MS,Software Engineering,2015,Full-Time,Harrisburg,PA,USA
4,Guy,Olson,guy.olson477@slu.edu,guy.olson788@outlook.com,BA,Information Systems,2020,Full-Time,Springfield,MO,USA
5,Michael,Rogers,michael.rogers978@slu.edu,michael.rogers519@yahoo.com,MS,Business Analytics,2018,Full-Time,Clayton,MO,USA
6,Kyle,White,kyle.white677@slu.edu,kyle.white343@gmail.com,PhD,Biostatistics,2018,Full-Time,St. Louis,MO,USA
7,Jeremy,Barton,jeremy.barton843@slu.edu,jeremy.barton368@yahoo.com,MS,Information Systems,2016,Full-Time,Houston,TX,USA
8,Kimberly,Farrell,kimberly.farrell16@slu.edu,kimberly.farrell654@outlook.com,PhD,Cybersecurity,2020,Full-Time,Cincinnati,OH,USA
9,Ryan,Rogers,ryan.rogers106@slu.edu,ryan.rogers872@outlook.com,PhD,Marketing,2022,OPT,Cincinnati,OH,USA
10,Kathryn,Cooper,kathryn.cooper410@slu.edu,kathryn.cooper359@yahoo.com,PhD,Biostatistics,2019,Full-Time,Fort Collins,CO,USA
11,David,Zamora,david.zamora385@slu.edu,david.zamora894@gmail.com,PhD,Data Science,2021,Full-Time,Durham,NC,USA
12,Victoria,Simmons,victoria.simmons740@slu.edu,victoria.simmons736@gmail.com,MBA,Business Analytics,2020,Full-Time,Rochester,NY,USA
13,Jessica,Wu,jessica.wu285@slu.edu,jessica.wu271@yahoo.com,MBA,Business Analytics,2025,CPT,Peoria,IL,USA
14,Kathryn,Alvarado,kathryn.alvarado617@slu.edu,kathryn.alvarado906@outlook.com,BS,Electrical Engineering,2019,Full-Time,Fort Collins,CO,USA
15,Carla,Williams,carla.williams203@slu.edu,carla.williams350@yahoo.com,MS,Marketing,2023,OPT,Fort Collins,CO,USA
16,Paige,Cuevas,paige.cuevas200@slu.edu,paige.cuevas980@yahoo.com,MS,Biostatistics,2022,OPT,Plano,TX,USA
17,Jason,Graham,jason.graham993@slu.edu,jason.graham106@gmail.com,BS,Computer Science,2015,Full-Time,Grand Rapids,MI,USA
18,Laura,Morales,laura.morales719@slu.edu,laura.morales302@yahoo.com,BS,Biostatistics,2022,OPT,Houston,TX,USA
19,Jody,Woods,jody.woods609@slu.edu,jody.woods218@gmail.com,BA,Finance,2020,Full-Time,Irvine,CA,USA
20,Kimberly,Gomez,kimberly.gomez563@slu.edu,kimberly.gomez830@gmail.com,PhD,Finance,2017,Full-Time,Buffalo,NY,USA
21,Grant,Wright,grant.wright127@slu.edu,grant.wright92@gmail.com,MS,Computer Science,2021,Full-Time,Savannah,GA,USA
22,Judy,Page,judy.page292@slu.edu,judy.page61@yahoo.com,BA,Electrical Engineering,2023,STEM-OPT,Los Angeles,CA,USA
23,Ashley,Christian,ashley.christian936@slu.edu,ashley.christian46@gmail.com,PhD,Biostatistics,2015,Full-Time,Tacoma,WA,USA
24,Kathryn,Martin,kathryn.martin459@slu.edu,kathryn.martin661@outlook.com,MS,Information Systems,2023,STEM-OPT,Somerville,MA,USA
25,Laura,Brooks,laura.brooks230@slu.edu,laura.brooks580@gmail.com,BS,Biostatistics,2020,Full-Time,Raleigh,NC,USA
26,John,Jackson,john.jackson711@slu.edu,john.jackson958@yahoo.com,PhD,Business Analytics,2025,CPT,Kansas City,MO,USA
27,Bianca,Rodriguez,bianca.rodriguez545@slu.edu,bianca.rodriguez361@outlook.com,MBA,Software Engineering,2019,Full-Time,Jacksonville,FL,USA
28,Adam,Martinez,adam.martinez843@slu.edu,adam.martinez84@yahoo.com,MS,Business Analytics,2015,Full-Time,New York,NY,USA
29,James,Stanton,james.stanton365@slu.edu,james.stanton667@yahoo.com,PhD,Business Analytics,2015,Full-Time,Jacksonville,FL,USA
30,Ashley,Richards,ashley.richards516@slu.edu,ashley.richards345@outlook.com,MS,Cybersecurity,2023,STEM-OPT,Cincinnati,OH,USA
31,Christine,Chavez,christine.chavez920@slu.edu,christine.chavez87@yahoo.com,MBA,Cybersecurity,2017,Full-Time,Cleveland,OH,USA
32,Michael,Ward,michael.ward983@slu.edu,michael.ward859@gmail.com,MS,Marketing,2017,Full-Time,Harrisburg,PA,USA
33,Rachel,Johnson,rachel.johnson801@slu.edu,rachel.johnson263@gmail.com,BS,Finance,2015,Full-Time,Tampa,FL,USA
34,Brandon,Williams,brandon.williams433@slu.edu,brandon.williams141@gmail.com,PhD,Business Analytics,2021,Full-Time,Grand Rapids,MI,USA
35,Joshua,Frazier,joshua.frazier446@slu.edu,joshua.frazier670@outlook.com,MBA,Data Science,2017,Full-Time,Cincinnati,OH,USA
36,Christopher,Nicholson,christopher.nicholson336@slu.edu,christopher.nicholson91@yahoo.com,MBA,Electrical Engineering,2015,Full-Time,Worcester,MA,USA
37,Valerie,Bautista,valerie.bautista646@slu.edu,valerie.bautista980@gmail.com,MBA,Electrical Engineering,2017,Full-Time,Ann Arbor,MI,USA
