Employer_ID,Company_Name,Industry,City,State,Country,Partnership_Level,Contact_Name,Contact_Email,Contact_Phone
1,Sharp-Barry,Energy,Redmond,WA,USA,Prospect,Tyler Adkins,hr@healthplus.org,001-889-669-5075x645
2,Anderson PLC,Manufacturing,Somerville,MA,USA,Silver,Stephen Daniels,hr@techcorp.com,(910)790-5529
3,"Hoffman, Griffin and West",Energy,Austin,TX,USA,Prospect,April Harmon,hr@consultex.com,+1-573-896-4944x243
4,"Rhodes, Foster and Hubbard",Healthcare,Scottsdale,AZ,USA,Gold,Heather Thomas,hr@manufab.io,726.663.2407
5,White-Sawyer,Healthcare,Urbana,IL,USA,Strategic,Martin Sullivan,hr@nonprofit.org,+1-481-727-3120x941
6,"Galvan, Edwards and Vazquez",Retail,Albany,NY,USA,Silver,Linda Turner,hr@consultex.com,310.744.8039
7,Perry-Miles,Healthcare,San Antonio,TX,USA,Bronze,Thomas Robinson,hr@techcorp.com,+1-985-644-0379
8,Dixon Group,Technology,Chicago,IL,USA,Silver,Jennifer Arnold,hr@retailmax.com,001-974-965-4974x25184
9,Santos-Baldwin,Healthcare,Charlotte,NC,USA,Prospect,James Parks,hr@healthplus.org,889-868-5509x247
10,Lutz LLC,Retail,Clayton,MO,USA,Gold,Melissa Richmond,hr@healthplus.org,830.320.9853x08087
11,"Davenport, Garza and Kelly",Retail,Colorado Springs,CO,USA,Gold,James Mendez,hr@govservices.gov,+1-424-846-5084x1979
12,Hall Ltd,Education,Phoenix,AZ,USA,Bronze,Allison Bailey,hr@retailmax.com,+1-777-254-9255x2240
13,"Johnson, Miller and Glenn",Non-Profit,Grand Rapids,MI,USA,Silver,Gary Brown,hr@nonprofit.org,793-666-2441x8019
14,"Coleman, Fuller and Vance",Energy,Boston,MA,USA,Silver,Melissa Hill,hr@consultex.com,231-994-7584x5746
15,Copeland and Sons,Finance,Tucson,AZ,USA,Strategic,Christopher Reese,hr@healthplus.org,943-782-6135x988
16,"Hill, Martinez and Wallace",Healthcare,Cleveland,OH,USA,Strategic,Tiffany Lopez PhD,hr@consultex.com,(951)210-0867x425
17,"Perkins, Chavez and Mooney",Education,Cincinnati,OH,USA,Gold,Stacey Carter,hr@nonprofit.org,455-242-1985
18,Smith-Collins,Consulting,Philadelphia,PA,USA,Bronze,Nicole Aguilar,hr@retailmax.com,793-892-8761x802
19,Stanley Inc,Technology,Orlando,FL,USA,Silver,Becky Howard,hr@govservices.gov,686.370.4869
20,Lewis-Campbell,Education,Urbana,IL,USA,Silver,Erik Chang,hr@govservices.gov,9087958391
21,"Cervantes, Parker and Rocha",Manufacturing,Tampa,FL,USA,Gold,Amber Mccarty,hr@manufab.io,+1-387-482-2763
22,Willis-Leonard,Non-Profit,Alpharetta,GA,USA,Prospect,Brandon Brown,hr@consultex.com,(955)961-9380
23,Adams Group,Finance,Atlanta,GA,USA,Gold,Cassidy Savage,hr@consultex.com,481-689-4938
24,Maddox LLC,Finance,Albany,NY,USA,Silver,Tyler Contreras,hr@govservices.gov,3132369055
25,Smith and Sons,Energy,Buffalo,NY,USA,Strategic,Connor Anthony,hr@edulabs.edu,+1-574-681-2993x885
26,"Singleton, Hebert and Mclaughlin",Consulting,Dallas,TX,USA,Bronze,Chad Jackson,hr@consultex.com,+1-900-342-7111x3962
27,"Brown, Leonard and Horton",Non-Profit,Alpharetta,GA,USA,Silver,Javier Valdez,hr@retailmax.com,5437130565
28,Moore LLC,Non-Profit,San Antonio,TX,USA,Silver,Andrea Phillips,hr@retailmax.com,(832)600-8141x978
29,Wilson-Williams,Consulting,Grand Rapids,MI,USA,Bronze,Michelle Guzman,hr@nonprofit.org,906.308.3088x79454
30,Mcdaniel PLC,Non-Profit,Miami,FL,USA,Silver,Ebony Robertson,hr@nonprofit.org,001-429-931-6574x977
31,"Watson, Byrd and Smith",Energy,Los Angeles,CA,USA,Prospect,Kimberly Hurley,hr@govservices.gov,(437)649-0774
32,Moody-Kim,Manufacturing,Springfield,MO,USA,Prospect,Kevin Ortiz,hr@govservices.gov,001-228-374-8120
33,Payne-Horton,Education,Alpharetta,GA,USA,Bronze,Wesley Peterson,hr@retailmax.com,867.983.5391x42144
34,"Melendez, Grant and Torres",Healthcare,Orlando,FL,USA,Bronze,Katherine Martinez,hr@govservices.gov,651.712.0849
35,"Brown, Wallace and Smith",Manufacturing,Alpharetta,GA,USA,Gold,Claire Boyle,hr@govservices.gov,937-892-3760
36,"Blake, Williams and Jones",Government,Urbana,IL,USA,Silver,Cassidy Carpenter,hr@healthplus.org,+1-429-313-9997x1527
37,"Petty, Howard and Alvarado",Energy,Naperville,IL,USA,Prospect,Keith Adams,hr@techcorp.com,+1-706-957-6292x070
38,Alvarado-Patterson,Consulting,Clayton,MO,USA,Bronze,Luke Pena,hr@consultex.com,+1-255-406-3450x701
39,Cervantes-Coleman,Manufacturing,Springfield,MO,USA,Bronze,Bryan Barron,hr@edulabs.edu,6133450887
40,Peterson and Sons,Government,Chesterfield,MO,USA,Prospect,Angela Scott,hr@techcorp.com,383.856.9857
41,Scott-Edwards,Retail,Springfield,MO,USA,Silver,Kelly Hull,hr@healthplus.org,+1-620-515-7795
42,"Moran, Hernandez and Anderson",Non-Profit,Fort Collins,CO,USA,Strategic,Adam Ibarra,hr@techcorp.com,3277260655
43,"Jones, Williams and Nolan",Finance,Orlando,FL,USA,Bronze,Thomas Perez,hr@consultex.com,457-480-0197
44,"Munoz, Anderson and Vincent",Retail,Tampa,FL,USA,Silver,Cynthia Schmidt,hr@retailmax.com,001-212-549-0715x5877
45,Orr LLC,Finance,Cincinnati,OH,USA,Prospect,Scott Shepherd,hr@edulabs.edu,+1-562-766-0440x3443
46,"Paul, Jackson and Solomon",Government,Chicago,IL,USA,Prospect,Jennifer Yang,hr@consultex.com,+1-810-859-8291
47,Ford LLC,Government,San Francisco,CA,USA,Prospect,Tiffany Holt,hr@govservices.gov,(769)556-5777
48,Gilbert-Martin,Non-Profit,Boulder,CO,USA,Prospect,Steven Murray,hr@consultex.com,2642467834
49,"Whitney, Serrano and Bowers",Non-Profit,Harrisburg,PA,USA,Silver,Elizabeth Bentley,hr@edulabs.edu,(467)631-6673
50,"Sullivan, Burch and Turner",Finance,Rochester,NY,USA,Bronze,Joshua Rocha,hr@manufab.io,+1-200-442-0052x3783
51,Black and Sons,Non-Profit,Peoria,IL,USA,Silver,Cindy Knight,hr@nonprofit.org,476.442.9573x09154
52,Rowland-Boyd,Consulting,Los Angeles,CA,USA,Strategic,Stephanie Bailey,hr@govservices.gov,959-357-8773
53,Thomas-Frost,Healthcare,Cleveland,OH,USA,Silver,Jessica Gibson,hr@consultex.com,(245)416-7046
54,"Ross, Marshall and Cooper",Technology,Tucson,AZ,USA,Bronze,Christopher Lam,hr@greenenergy.co,786-472-8009x450
55,Bennett-Davidson,Energy,Cleveland,OH,USA,Gold,Maureen Waters,hr@govservices.gov,377-929-9844x7359
56,Cooper LLC,Consulting,Tempe,AZ,USA,Gold,Denise Dean,hr@edulabs.edu,4223395344
57,Miller-Silva,Education,Tacoma,WA,USA,Silver,Kenneth Willis,hr@nonprofit.org,001-578-295-6955x8386
58,Walker-Kidd,Healthcare,Cary,NC,USA,Prospect,Bridget Burgess,hr@healthplus.org,001-629-439-2924
59,"Woodard, Ali and Coleman",Retail,Scottsdale,AZ,USA,Silver,Tiffany Coleman,hr@edulabs.edu,(361)339-7462
60,"Brown, Bell and Carney",Non-Profit,Orlando,FL,USA,Prospect,Brooke Wilson,hr@govservices.gov,001-294-275-5903x130
