Student_ID,First_Name,Last_Name,SLU_Email,Program,Major,Enrollment_Year,Expected_Graduation_Year,Visa_Status,City,State,Country,Current_Employer_ID,Internship_Role,Internship_Start_Date
1,Stacy,Forbes,stacy.forbes829@slu.edu,MBA,Business Analytics,2022,2024,STEM-OPT,Albany,NY,USA,,,
2,Steven,Erickson,steven.erickson52@slu.edu,MS Data Science,Data Science,2021,2024,CPT,Denver,CO,USA,,,
3,Grace,Owens,grace.owens800@slu.edu,MS Software Engineering,Marketing,2020,2022,CPT,Houston,TX,USA,,,
4,Kelli,Sandoval,kelli.sandoval216@slu.edu,MS Computer Science,Computer Science,2024,2025,CPT,Phoenix,AZ,USA,,,
5,Mark,Williams,mark.williams984@slu.edu,MS Software Engineering,Electrical Engineering,2021,2022,CPT,Phoenix,AZ,USA,531.0,Research Assistant,2021-02-10
6,Henry,Weeks,henry.weeks542@slu.edu,MS Cybersecurity,Business Analytics,2023,2024,STEM-OPT,Plano,TX,USA,,,
7,Anthony,House,anthony.house423@slu.edu,MS Computer Science,Marketing,2019,2022,F1,Alpharetta,GA,USA,396.0,QA Intern,2022-01-15
8,James,Jones,james.jones768@slu.edu,MS Computer Science,Computer Science,2018,2020,OPT,Springfield,MO,USA,696.0,Research Assistant,2019-10-15
9,Jonathan,Simmons,jonathan.simmons720@slu.edu,MS Data Science,Software Engineering,2022,2025,CPT,Boulder,CO,USA,263.0,QA Intern,2022-06-06
10,Tanya,Perez,tanya.perez944@slu.edu,MS Information Systems,Computer Science,2020,2021,CPT,Atlanta,GA,USA,,,
11,Isabella,Fitzpatrick,isabella.fitzpatrick122@slu.edu,MS Cybersecurity,Business Analytics,2021,2023,OPT,Tempe,AZ,USA,,,
12,Mariah,Anderson,mariah.anderson528@slu.edu,MS Analytics,Business Analytics,2019,2021,CPT,Houston,TX,USA,,,
13,Stephanie,Davies,stephanie.davies953@slu.edu,MS Analytics,Electrical Engineering,2021,2024,STEM-OPT,Rochester,NY,USA,,,
14,Pamela,Smith,pamela.smith436@slu.edu,MS Analytics,Data Science,2024,2026,CPT,San Diego,CA,USA,,,
15,Ann,Patterson,ann.patterson974@slu.edu,MS Computer Science,Marketing,2024,2026,OPT,Bellevue,WA,USA,,,
16,Terry,Barnes,terry.barnes645@slu.edu,MS Information Systems,Business Analytics,2020,2021,CPT,Urbana,IL,USA,,,
17,Alicia,Bell,alicia.bell195@slu.edu,MS Data Science,Computer Science,2020,2022,STEM-OPT,Boulder,CO,USA,325.0,Data Analyst Intern,2022-03-31
18,Pamela,Gutierrez,pamela.gutierrez384@slu.edu,MS Software Engineering,Software Engineering,2022,2023,CPT,St. Louis,MO,USA,933.0,Software Intern,2022-02-25
19,Robert,Shah,robert.shah936@slu.edu,MS Software Engineering,Finance,2024,2026,F1,Savannah,GA,USA,,,
20,Ashley,Harris,ashley.harris431@slu.edu,MBA,Biostatistics,2022,2024,STEM-OPT,Scottsdale,AZ,USA,,,
21,Jeffery,Spencer,jeffery.spencer195@slu.edu,MS Information Systems,Information Systems,2018,2019,CPT,New York,NY,USA,,,
22,Karen,Hill,karen.hill705@slu.edu,MS Cybersecurity,Data Science,2024,2026,OPT,Cary,NC,USA,,,
23,Ronnie,Lester,ronnie.lester761@slu.edu,MS Software Engineering,Data Science,2023,2025,OPT,Jacksonville,FL,USA,918.0,Data Analyst Intern,2025-01-07
24,Antonio,Kramer,antonio.kramer834@slu.edu,MBA,Marketing,2022,2024,STEM-OPT,Somerville,MA,USA,,,
25,Christine,Hall,christine.hall603@slu.edu,MS Analytics,Business Analytics,2023,2026,CPT,Jacksonville,FL,USA,,,
26,Catherine,Johnson,catherine.johnson480@slu.edu,MBA,Electrical Engineering,2020,2021,OPT,Irvine,CA,USA,,,
27,Michael,Chapman,michael.chapman85@slu.edu,MBA,Software Engineering,2019,2021,OPT,San Francisco,CA,USA,795.0,Data Analyst Intern,2019-02-09
28,Marissa,Rose,marissa.rose493@slu.edu,MS Cybersecurity,Business Analytics,2024,2026,STEM-OPT,Philadelphia,PA,USA,,,
29,Julie,Kennedy,julie.kennedy138@slu.edu,MS Data Science,Cybersecurity,2021,2023,CPT,Charlotte,NC,USA,659.0,Software Intern,2022-09-14
30,Kimberly,Riley,kimberly.riley45@slu.edu,MS Information Systems,Business Analytics,2020,2021,CPT,Atlanta,GA,USA,56.0,Software Intern,2021-09-30
31,Rebekah,Smith,rebekah.smith990@slu.edu,MS Software Engineering,Electrical Engineering,2020,2023,F1,Springfield,IL,USA,576.0,DevOps Intern,2022-03-27
32,Jonathan,Boyd,jonathan.boyd951@slu.edu,MS Cybersecurity,Biostatistics,2021,2023,F1,Tacoma,WA,USA,,,
33,Philip,Miller,philip.miller841@slu.edu,MS Data Science,Biostatistics,2021,2022,STEM-OPT,Columbia,MO,USA,,,
34,Juan,Jennings,juan.jennings181@slu.edu,MS Data Science,Business Analytics,2021,2023,STEM-OPT,Cleveland,OH,USA,721.0,QA Intern,2022-05-03
35,Anna,Shepard,anna.shepard808@slu.edu,MS Software Engineering,Marketing,2024,2025,CPT,Urbana,IL,USA,10.0,Research Assistant,2024-03-24
36,Ryan,Kaiser,ryan.kaiser250@slu.edu,MS Software Engineering,Cybersecurity,2021,2022,F1,Phoenix,AZ,USA,,,
37,Brandon,Patrick,brandon.patrick654@slu.edu,MS Computer Science,Data Science,2020,2022,OPT,Somerville,MA,USA,,,
38,Nicole,May,nicole.may252@slu.edu,MS Information Systems,Electrical Engineering,2018,2021,CPT,Scottsdale,AZ,USA,,,
39,Priscilla,Kennedy,priscilla.kennedy549@slu.edu,MBA,Biostatistics,2019,2022,OPT,Naperville,IL,USA,,,
40,Deborah,Rios,deborah.rios676@slu.edu,MBA,Data Science,2021,2022,OPT,Pittsburgh,PA,USA,,,
41,John,Roy,john.roy258@slu.edu,MS Data Science,Information Systems,2022,2023,STEM-OPT,Colorado Springs,CO,USA,,,
42,Brittany,Tran,brittany.tran20@slu.edu,MS Software Engineering,Information Systems,2021,2022,F1,Clayton,MO,USA,,,
43,Michael,Barnes,michael.barnes204@slu.edu,MS Cybersecurity,Marketing,2022,2024,F1,San Antonio,TX,USA,,,
44,William,Perkins,william.perkins28@slu.edu,MS Information Systems,Computer Science,2019,2020,CPT,Columbia,MO,USA,,,
45,Amanda,Walters,amanda.walters434@slu.edu,MBA,Software Engineering,2018,2021,STEM-OPT,Orlando,FL,USA,346.0,Data Analyst Intern,2019-03-07
46,Elijah,James,elijah.james475@slu.edu,MS Analytics,Finance,2018,2019,OPT,Springfield,IL,USA,,,
47,Teresa,Hughes,teresa.hughes393@slu.edu,MS Analytics,Computer Science,2020,2021,F1,Cincinnati,OH,USA,834.0,Research Assistant,2020-12-19
48,Amber,Carpenter,amber.carpenter817@slu.edu,MS Computer Science,Electrical Engineering,2019,2020,CPT,Raleigh,NC,USA,,,
49,David,Guerra,david.guerra639@slu.edu,MS Software Engineering,Marketing,2023,2026,STEM-OPT,Tacoma,WA,USA,,,
50,Luke,Day,luke.day895@slu.edu,MS Software Engineering,Business Analytics,2021,2024,STEM-OPT,Redmond,WA,USA,,,
51,Jessica,Olson,jessica.olson832@slu.edu,MS Information Systems,Business Analytics,2019,2021,STEM-OPT,Ann Arbor,MI,USA,150.0,QA Intern,2020-02-09
52,Karen,Ballard,karen.ballard736@slu.edu,MS Software Engineering,Software Engineering,2022,2024,OPT,Atlanta,GA,USA,900.0,QA Intern,2022-01-09
53,Melanie,Nash,melanie.nash352@slu.edu,MS Data Science,Data Science,2023,2026,STEM-OPT,Miami,FL,USA,,,
54,Christine,Jones,christine.jones485@slu.edu,MS Information Systems,Marketing,2018,2019,STEM-OPT,Irvine,CA,USA,,,
55,Jenna,Thomas,jenna.thomas517@slu.edu,MBA,Finance,2019,2022,CPT,Harrisburg,PA,USA,,,
56,Larry,Palmer,larry.palmer875@slu.edu,MS Software Engineering,Finance,2023,2025,CPT,Rochester,NY,USA,756.0,DevOps Intern,2025-06-07
57,Katie,Moore,katie.moore154@slu.edu,MBA,Data Science,2023,2026,CPT,Cambridge,MA,USA,,,
58,Elizabeth,Barajas,elizabeth.barajas112@slu.edu,MS Data Science,Cybersecurity,2020,2022,OPT,Raleigh,NC,USA,,,
59,Erin,Mccarthy,erin.mccarthy2@slu.edu,MS Software Engineering,Business Analytics,2019,2020,STEM-OPT,San Diego,CA,USA,,,
60,Christina,Kelly,christina.kelly32@slu.edu,MS Information Systems,Data Science,2018,2020,STEM-OPT,Harrisburg,PA,USA,,,
61,Richard,Moore,richard.moore820@slu.edu,MBA,Cybersecurity,2020,2021,OPT,San Jose,CA,USA,922.0,QA Intern,2021-11-02
62,Jacqueline,Jenkins,jacqueline.jenkins187@slu.edu,MBA,Marketing,2021,2022,CPT,Philadelphia,PA,USA,,,
63,William,Tanner,william.tanner841@slu.edu,MS Information Systems,Data Science,2020,2023,F1,Tacoma,WA,USA,,,
64,Carol,Liu,carol.liu890@slu.edu,MS Information Systems,Computer Science,2024,2025,STEM-OPT,Cary,NC,USA,,,
65,Brent,Gonzalez,brent.gonzalez503@slu.edu,MS Information Systems,Electrical Engineering,2018,2021,STEM-OPT,Cincinnati,OH,USA,275.0,QA Intern,2019-08-29
66,Dana,Shaffer,dana.shaffer391@slu.edu,MS Software Engineering,Information Systems,2023,2025,STEM-OPT,Denver,CO,USA,,,
67,Melissa,Mosley,melissa.mosley88@slu.edu,MS Computer Science,Business Analytics,2022,2025,CPT,Cambridge,MA,USA,978.0,Data Analyst Intern,2022-09-27
68,Hannah,Hartman,hannah.hartman542@slu.edu,MBA,Software Engineering,2018,2021,STEM-OPT,St. Louis,MO,USA,,,
69,Derek,King,derek.king657@slu.edu,MS Software Engineering,Information Systems,2019,2020,CPT,Raleigh,NC,USA,,,
70,Karen,Allen,karen.allen732@slu.edu,MS Data Science,Marketing,2019,2022,STEM-OPT,Cary,NC,USA,,,
71,Joy,Raymond,joy.raymond452@slu.edu,MS Analytics,Marketing,2021,2022,OPT,Los Angeles,CA,USA,,,
72,Rachael,Barnes,rachael.barnes915@slu.edu,MBA,Information Systems,2022,2025,STEM-OPT,Buffalo,NY,USA,,,
73,Lisa,Smith,lisa.smith332@slu.edu,MS Information Systems,Cybersecurity,2019,2022,OPT,Chesterfield,MO,USA,,,
74,Tamara,Walls,tamara.walls838@slu.edu,MS Analytics,Business Analytics,2021,2023,STEM-OPT,Peoria,IL,USA,843.0,Research Assistant,2021-10-03
75,Sara,George,sara.george331@slu.edu,MS Computer Science,Business Analytics,2022,2023,STEM-OPT,Redmond,WA,USA,,,
76,Sarah,Yang,sarah.yang204@slu.edu,MBA,Business Analytics,2021,2023,OPT,Redmond,WA,USA,,,
77,Kevin,Burns,kevin.burns397@slu.edu,MS Computer Science,Information Systems,2019,2021,F1,Miami,FL,USA,,,
78,Timothy,Patterson,timothy.patterson426@slu.edu,MS Information Systems,Software Engineering,2019,2020,CPT,Tampa,FL,USA,,,
79,Barbara,Morales,barbara.morales868@slu.edu,MS Analytics,Biostatistics,2024,2025,STEM-OPT,Somerville,MA,USA,,,
80,Ashley,Murray,ashley.murray128@slu.edu,MBA,Cybersecurity,2021,2022,F1,Cary,NC,USA,,,
81,Christian,Williams,christian.williams276@slu.edu,MS Cybersecurity,Business Analytics,2023,2025,F1,Savannah,GA,USA,,,
82,Miranda,Best,miranda.best623@slu.edu,MS Software Engineering,Information Systems,2023,2024,STEM-OPT,Atlanta,GA,USA,,,
83,Sarah,Flores,sarah.flores218@slu.edu,MS Analytics,Marketing,2024,2026,OPT,Cleveland,OH,USA,,,
84,Michael,Black,michael.black145@slu.edu,MS Data Science,Electrical Engineering,2019,2022,OPT,Phoenix,AZ,USA,,,
85,David,Wilkerson,david.wilkerson338@slu.edu,MS Software Engineering,Software Engineering,2018,2019,F1,Naperville,IL,USA,,,
86,Alexandra,Hamilton,alexandra.hamilton882@slu.edu,MS Software Engineering,Information Systems,2019,2020,OPT,Rochester,NY,USA,115.0,Software Intern,2020-04-08
87,Jamie,Liu,jamie.liu854@slu.edu,MBA,Marketing,2021,2024,F1,Savannah,GA,USA,,,
88,Jennifer,Frazier,jennifer.frazier787@slu.edu,MS Computer Science,Data Science,2021,2022,OPT,San Jose,CA,USA,,,
89,Jade,Reyes,jade.reyes59@slu.edu,MS Information Systems,Computer Science,2024,2025,F1,Cincinnati,OH,USA,,,
90,Eric,Campos,eric.campos710@slu.edu,MS Information Systems,Data Science,2022,2023,STEM-OPT,Cleveland,OH,USA,739.0,Software Intern,2023-04-16
91,Luis,Graham,luis.graham165@slu.edu,MS Data Science,Computer Science,2018,2019,F1,Durham,NC,USA,,,
92,Randy,Mercado,randy.mercado68@slu.edu,MS Analytics,Electrical Engineering,2021,2024,CPT,Orlando,FL,USA,,,
93,Joyce,Lawrence,joyce.lawrence72@slu.edu,MS Analytics,Computer Science,2022,2024,F1,Albany,NY,USA,,,
94,Denise,Davis,denise.davis840@slu.edu,MS Computer Science,Business Analytics,2021,2023,STEM-OPT,Seattle,WA,USA,198.0,Data Analyst Intern,2023-07-07
95,Anthony,Hill,anthony.hill489@slu.edu,MS Analytics,Biostatistics,2020,2023,OPT,Cambridge,MA,USA,,,
96,Catherine,Joseph,catherine.joseph679@slu.edu,MS Analytics,Data Science,2023,2024,OPT,Pittsburgh,PA,USA,,,
97,Michael,Payne,michael.payne271@slu.edu,MS Data Science,Computer Science,2024,2026,OPT,Columbus,OH,USA,,,
98,Donald,Medina,donald.medina92@slu.edu,MS Analytics,Cybersecurity,2023,2026,STEM-OPT,Harrisburg,PA,USA,36.0,Software Intern,2025-11-20
99,George,Gibson,george.gibson277@slu.edu,MS Software Engineering,Finance,2022,2023,OPT,Urbana,IL,USA,,,
100,John,Downs,john.downs950@slu.edu,MS Information Systems,Business Analytics,2018,2021,OPT,Irvine,CA,USA,487.0,Research Assistant,2021-02-21
101,Ryan,Young,ryan.young755@slu.edu,MS Cybersecurity,Software Engineering,2024,2025,OPT,Redmond,WA,USA,760.0,DevOps Intern,2024-08-07
102,Danny,Reynolds,danny.reynolds964@slu.edu,MS Cybersecurity,Software Engineering,2024,2026,STEM-OPT,Durham,NC,USA,,,
103,Tamara,Dawson,tamara.dawson476@slu.edu,MS Data Science,Data Science,2018,2019,CPT,Plano,TX,USA,742.0,Research Assistant,2019-01-13
104,Joel,West,joel.west898@slu.edu,MS Information Systems,Finance,2024,2025,OPT,Raleigh,NC,USA,,,
105,Steven,Williamson,steven.williamson580@slu.edu,MS Analytics,Software Engineering,2024,2026,F1,Tucson,AZ,USA,,,
106,Deborah,Green,deborah.green870@slu.edu,MS Data Science,Computer Science,2022,2025,F1,Durham,NC,USA,,,
107,Christopher,Haas,christopher.haas452@slu.edu,MS Analytics,Electrical Engineering,2018,2019,OPT,Raleigh,NC,USA,,,
108,Jonathan,Phillips,jonathan.phillips952@slu.edu,MS Software Engineering,Business Analytics,2020,2023,CPT,Springfield,IL,USA,412.0,Research Assistant,2023-09-22
109,Michael,Payne,michael.payne959@slu.edu,MS Data Science,Software Engineering,2022,2023,OPT,Orlando,FL,USA,,,
110,Stephanie,Moore,stephanie.moore670@slu.edu,MS Software Engineering,Finance,2019,2020,CPT,Seattle,WA,USA,245.0,QA Intern,2019-07-21
111,Nicole,Mclean,nicole.mclean627@slu.edu,MS Information Systems,Computer Science,2020,2022,CPT,Denver,CO,USA,,,
112,Darren,Wilcox,darren.wilcox489@slu.edu,MS Cybersecurity,Computer Science,2018,2020,CPT,Tempe,AZ,USA,861.0,Software Intern,2020-10-25
113,Brooke,Ochoa,brooke.ochoa444@slu.edu,MS Software Engineering,Finance,2018,2021,CPT,Columbia,MO,USA,,,
114,John,Howell,john.howell556@slu.edu,MS Computer Science,Software Engineering,2018,2020,OPT,Cleveland,OH,USA,,,
115,Sheila,Bell,sheila.bell590@slu.edu,MS Data Science,Business Analytics,2019,2022,F1,Cleveland,OH,USA,,,
116,Charles,Gallegos,charles.gallegos640@slu.edu,MS Information Systems,Computer Science,2020,2021,CPT,Jacksonville,FL,USA,,,
117,Scott,Palmer,scott.palmer156@slu.edu,MBA,Data Science,2018,2020,CPT,Cambridge,MA,USA,,,
118,Kyle,Pineda,kyle.pineda622@slu.edu,MS Computer Science,Business Analytics,2021,2022,OPT,Cambridge,MA,USA,,,
